Date : 2022-02-16 10:09:26
Directory : c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking
Total : 114 files,  23013 codes, 234 comments, 703 blanks, all 23950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     13,268 |          0 |          2 |     13,270 |
| vue                |         27 |      6,771 |         41 |        245 |      7,057 |
| SCSS               |         16 |      1,964 |         34 |        306 |      2,304 |
| TypeScript         |         14 |        430 |         85 |         38 |        553 |
| JavaScript         |         12 |        387 |         73 |         72 |        532 |
| Markdown           |          2 |        101 |          0 |         25 |        126 |
| XML                |         35 |         35 |          0 |          0 |         35 |
| Visual Basic       |          1 |         21 |          1 |          8 |         30 |
| JSON with Comments |          1 |         15 |          0 |          1 |         16 |
| HTML               |          1 |         14 |          0 |          3 |         17 |
| Objective-C        |          1 |          7 |          0 |          2 |          9 |
| CSS                |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        114 |     23,013 |        234 |        703 |     23,950 |
| electron                                                                                                                             |         14 |        415 |         74 |         82 |        571 |
| electron\nodelib                                                                                                                     |         12 |        287 |         33 |         64 |        384 |
| electron\nodelib\b64toFile                                                                                                           |          1 |         27 |          3 |          4 |         34 |
| electron\nodelib\createProtocol                                                                                                      |          1 |         37 |          4 |          5 |         46 |
| electron\nodelib\deleteFolder                                                                                                        |          1 |         27 |          3 |          1 |         31 |
| electron\nodelib\getFontList                                                                                                         |          9 |        196 |         23 |         54 |        273 |
| electron\nodelib\getFontList\darwin                                                                                                  |          2 |         40 |          5 |         12 |         57 |
| electron\nodelib\getFontList\linux                                                                                                   |          1 |         16 |          5 |          8 |         29 |
| electron\nodelib\getFontList\win32                                                                                                   |          4 |        114 |         10 |         32 |        156 |
| public                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| public\themes                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| src                                                                                                                                  |         93 |     10,024 |        149 |        610 |     10,783 |
| src\assets                                                                                                                           |         36 |        777 |          0 |          0 |        777 |
| src\assets\json                                                                                                                      |          1 |        742 |          0 |          0 |        742 |
| src\assets\svg                                                                                                                       |         35 |         35 |          0 |          0 |         35 |
| src\common                                                                                                                           |          2 |         90 |          9 |          5 |        104 |
| src\common\editor                                                                                                                    |          2 |         90 |          9 |          5 |        104 |
| src\components                                                                                                                       |         19 |      5,504 |         32 |        184 |      5,720 |
| src\components\widget                                                                                                                |          5 |        503 |          5 |         34 |        542 |
| src\db                                                                                                                               |          2 |        127 |          4 |         28 |        159 |
| src\router                                                                                                                           |          1 |         41 |          0 |          4 |         45 |
| src\style                                                                                                                            |         16 |      1,964 |         34 |        306 |      2,304 |
| src\utils                                                                                                                            |          7 |        143 |         39 |         11 |        193 |
| src\views                                                                                                                            |          7 |      1,253 |          9 |         58 |      1,320 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\README.md                                             | Markdown           |          6 |          0 |          2 |          8 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\main.js                                      | JavaScript         |        116 |         35 |         16 |        167 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\b64toFile\index.js                   | JavaScript         |         27 |          3 |          4 |         34 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\createProtocol\index.js              | JavaScript         |         37 |          4 |          5 |         46 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\deleteFolder\index.js                | JavaScript         |         27 |          3 |          1 |         31 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\darwin\fontlist.m        | Objective-C        |          7 |          0 |          2 |          9 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\darwin\index.js          | JavaScript         |         33 |          5 |         10 |         48 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\demo.js                  | JavaScript         |          8 |          1 |          1 |         10 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\index.js                 | JavaScript         |         18 |          2 |          1 |         21 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\linux\index.js           | JavaScript         |         16 |          5 |          8 |         29 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\fonts.vbs          | Visual Basic       |         21 |          1 |          8 |         30 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\getByPowerShell.js | JavaScript         |         16 |          4 |          4 |         24 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\getByVBS.js        | JavaScript         |         58 |          5 |         16 |         79 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\index.js           | JavaScript         |         19 |          0 |          4 |         23 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\preload.js                                   | JavaScript         |         12 |          6 |          2 |         20 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\index.html                                            | HTML               |         14 |          0 |          3 |         17 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\package-lock.json                                     | JSON               |     12,432 |          0 |          1 |     12,433 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\package.json                                          | JSON               |         94 |          0 |          1 |         95 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\public\themes\default.css                             | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\App.vue                                           | vue                |         14 |          0 |          3 |         17 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\json\book_category.json                    | JSON               |        742 |          0 |          0 |        742 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\addKeyWord.svg                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\addVolumeIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\closeWinIcon.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\diagram.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\diagram2.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\expDOCXIcon.svg                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\expPDFIcon.svg                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\expTXTIcon.svg                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontColorIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontFamilyIcon.svg                     | XML                |          1 |          0 |          0 |          1 |
